"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.10674214379061e-273,2.30982200339714,0.303,0.064,6.801617011228e-269,"0","Tspan9"
6.98079965211732e-272,1.4326500346312,0.607,0.263,2.25375116768608e-267,"0","Isg15"
3.53694214019808e-270,2.26133676039379,0.35,0.089,1.14190176996295e-265,"0","Pls3"
9.10236072582409e-270,1.80445641502048,0.366,0.092,2.93869716033231e-265,"0","Fam43a"
2.54560662759453e-269,2.06244178425339,0.354,0.089,8.21849099718893e-265,"0","Lrrc32"
9.93874393281817e-269,0.879800603191253,0.939,0.652,3.20872347871035e-264,"0","Egr1"
1.56586323360327e-268,2.18386367762562,0.403,0.121,5.05538944968815e-264,"0","Prdm1"
3.77712041351967e-266,2.2721760228994,0.401,0.119,1.21944332550483e-261,"0","Hbegf"
2.19738028564801e-264,1.76382692585535,0.391,0.111,7.09424225221459e-260,"0","Plscr1"
1.515156501926e-262,2.04269866149761,0.338,0.084,4.8916827664681e-258,"0","Dock1"
2.22825132803082e-262,1.48859045718319,0.534,0.196,7.1939094125475e-258,"0","Cavin3"
3.12494490144412e-262,2.17332645170051,0.318,0.074,1.00888846143123e-257,"0","Tmcc3"
1.30219951595828e-260,1.41489539834189,0.562,0.214,4.20415113727131e-256,"0","Fermt2"
2.4083795937195e-258,1.67411514561938,0.473,0.161,7.7754535183234e-254,"0","Ehd2"
5.2648451530796e-258,2.61715792036873,0.253,0.047,1.69975525767175e-253,"0","Slc39a10"
5.395358137247e-257,2.07247823916754,0.356,0.095,1.7418913746102e-252,"0","Lrrc8a"
1.81092686492239e-256,1.98233934279119,0.375,0.106,5.84657738340194e-252,"0","Ctnnd1"
8.1151547417815e-255,2.25123439474132,0.412,0.133,2.61997770838416e-250,"0","Rell1"
1.03592281663932e-254,2.45066809315273,0.281,0.059,3.34447681352006e-250,"0","Trim47"
2.0341469297034e-253,1.16086712264052,0.7,0.335,6.56724336254744e-249,"0","Cd9"
1.32505996802186e-252,1.8094219460884,0.365,0.098,4.27795610675858e-248,"0","Ccnd1"
2.31983927072711e-251,1.62344371395261,0.638,0.311,7.48960108554249e-247,"0","Cdkn1a"
2.05163079975876e-250,1.88352273038702,0.387,0.113,6.62369003702116e-246,"0","Wwc2"
2.60279810335296e-250,1.76283667901856,0.476,0.172,8.40313367667504e-246,"0","Pltp"
9.39822348120138e-249,1.84560153758679,0.32,0.075,3.03421645090587e-244,"0","Gbp4"
